Date,tasmax,tasmin,pr,wind,rh,rsds
2020-04-15,17.72,-5.68,0.0,150.336,45.0,24.48
2020-04-16,17.52,-1.73,0.0,374.112,64.16,24.53
2020-04-17,13.55,-2.21,0.0,254.88000000000002,55.2,23.04
2020-04-18,23.88,1.89,0.0,342.144,51.64,19.81
2020-04-19,22.24,-0.23,0.0,177.984,55.13,23.13
2020-04-20,23.4,1.14,0.0,142.56,46.66,23.87
2020-04-21,18.82,4.97,0.25,189.216,56.39,12.3
2020-04-22,21.21,6.48,3.05,189.216,80.88,15.14
2020-04-23,26.4,3.19,0.0,189.216,54.34,22.63
2020-04-24,18.0,2.92,0.0,460.51200000000006,64.06,15.28
2020-04-25,21.41,-0.23,0.0,207.36,55.1,24.29
2020-04-26,27.22,4.7,0.0,306.72,45.35,23.13
2020-04-27,29.48,5.92,0.0,196.12800000000001,45.65,26.21
2020-04-28,27.5,6.54,0.0,389.664,44.75,25.24
2020-04-29,23.33,1.48,0.0,368.064,32.03,27.57
2020-04-30,31.39,2.92,0.0,319.68000000000006,33.91,23.12
2020-05-01,34.33,10.55,0.0,277.344,38.0,23.98
2020-05-02,25.65,13.28,0.0,464.832,52.37,26.26
2020-05-03,26.81,9.13,0.0,294.624,51.03,26.6
2020-05-04,26.34,11.51,0.0,406.944,69.0,19.56
2020-05-05,24.29,5.24,0.0,208.22400000000002,43.07,27.7
2020-05-06,22.17,6.74,0.0,261.792,40.52,26.1
2020-05-07,27.7,7.62,0.0,421.632,41.09,26.34
2020-05-08,17.38,2.65,0.0,420.76800000000003,40.95,27.55
2020-05-09,22.71,2.65,0.0,348.19200000000006,43.0,26.9
2020-05-10,18.41,3.47,0.0,301.53600000000006,39.62,26.75
2020-05-11,7.9,2.65,4.32,328.32,81.86,3.61
2020-05-12,8.09,2.65,0.25,252.288,96.35,6.6
2020-05-13,22.58,6.73,0.25,372.384,91.93,15.65
2020-05-14,26.68,8.63,0.0,313.632,71.64,19.63
2020-05-15,25.99,12.46,1.02,276.48,71.43,25.13
2020-05-16,25.52,12.73,3.3,246.24000000000004,69.97,23.43
2020-05-17,25.52,8.92,0.0,216.0,55.97,27.64
2020-05-18,27.29,7.49,0.0,201.312,61.91,25.97
2020-05-19,27.91,10.29,0.0,253.15200000000004,67.21,24.64
2020-05-20,26.2,10.7,0.0,403.488,69.2,20.74
2020-05-21,27.22,13.14,7.37,353.37600000000003,72.14,14.98
2020-05-22,25.93,10.7,0.0,254.88000000000002,61.83,27.8
2020-05-23,34.54,11.99,0.0,376.70400000000006,56.19,21.92
2020-05-24,29.14,12.46,0.0,311.904,55.26,22.52
2020-05-25,18.07,8.25,1.78,438.91200000000003,71.37,14.37
2020-05-26,26.13,4.36,0.0,163.296,59.51,25.11
2020-05-27,25.93,8.65,0.0,213.40800000000004,56.38,17.27
2020-05-28,27.98,8.65,0.0,245.376,56.93,26.18
2020-05-29,30.44,11.38,0.0,300.672,55.63,27.44
2020-05-30,35.22,16.02,0.0,492.4800000000001,42.44,27.57
2020-05-31,34.54,16.29,0.0,509.76000000000005,42.44,27.69
2020-06-01,35.5,17.11,0.0,447.552,41.52,27.53
2020-06-02,37.41,17.18,0.0,305.85600000000005,46.39,27.86
2020-06-03,36.38,18.0,0.0,189.216,37.99,27.64
2020-06-04,36.93,14.05,0.0,188.35200000000003,39.38,21.23
2020-06-05,39.12,18.89,0.0,320.54400000000004,46.99,27.7
2020-06-06,37.34,20.94,0.0,464.832,43.15,25.49
2020-06-07,35.7,22.03,0.0,681.696,48.02,26.65
2020-06-08,39.19,20.25,0.0,572.832,47.29,28.37
2020-06-09,25.11,9.2,11.68,618.624,76.71,6.06
2020-06-10,27.29,8.26,0.0,243.648,51.22,29.18
