*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2020 155     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.17  26.88
 2020 156     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.92  26.63
 2020 157     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  35.96  28.49
 2020 158     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  34.68  28.39
 2020 159     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  33.92  29.18
 2020 160     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  36.23  29.52
 2020 161     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  23.51  17.59
 2020 162     8    0.72   0.05    0.00   1.31   5.26   5.25   5.93   5.93   0.15   0.15  24.74  18.03
 2020 163     9    0.77   0.04    0.00   1.33   5.26   5.26   5.93   5.93   0.17   0.17  31.26  24.63
 2020 164    10    0.82   0.04    0.00   1.35   5.26   5.26   5.93   5.93   0.17   0.17  33.03  26.29
 2020 165    11    0.77   0.03    0.00   1.34   5.26   5.26   5.93   5.93   0.12   0.12  34.63  25.89
 2020 166    12    1.48   0.03    0.00   1.67   5.27   5.26   5.93   5.93   0.10   0.10  33.86  28.04
 2020 167    13    0.84   0.02    0.00   1.37   5.27   5.26   5.93   5.93   0.09   0.09  33.73  27.56
 2020 168    14    0.84   0.03    0.00   1.37   5.27   5.26   5.93   5.93   0.11   0.11  32.47  26.98
 2020 169    15    0.95   0.03    0.00   1.42   5.27   5.26   5.93   5.93   0.11   0.11  34.51  28.84
 2020 170    16    0.88   0.04    0.00   1.38   5.27   5.26   5.93   5.93   0.13   0.13  29.35  25.21
 2020 171    17    1.89   0.08    0.00   1.90   5.27   5.26   5.93   5.93   0.21   0.21  23.34  19.45
 2020 172    18    1.00   0.05    0.00   1.44   5.28   5.27   5.93   5.93   0.16   0.16  30.29  23.97
 2020 173    19    1.65   0.05    0.00   1.77   5.28   5.28   5.93   5.93   0.18   0.17  32.25  25.26
 2020 174    20    1.00   0.05    0.00   1.44   5.28   5.28   5.93   5.93   0.16   0.16  29.00  22.72
 2020 175    21    1.13   0.05    0.00   1.51   5.29   5.28   5.93   5.93   0.16   0.16  28.64  22.47
 2020 176    22    0.92   0.03    0.00   1.41   5.29   5.29   5.93   5.93   0.10   0.10  33.85  27.14
 2020 177    23    1.02   0.02    0.00   1.45   5.29   5.29   5.93   5.93   0.08   0.08  34.68  27.80
 2020 178    24    0.90   0.02    0.00   1.40   5.29   5.29   5.93   5.93   0.09   0.09  34.47  27.84
 2020 179    25    1.04   0.02    0.00   1.46   5.29   5.29   5.93   5.93   0.08   0.08  34.32  27.54
 2020 180    26    0.96   0.02    0.00   1.43   5.29   5.29   5.93   5.93   0.07   0.07  34.97  28.05
 2020 181    27    0.87   0.01    0.00   1.39   5.29   5.29   5.93   5.93   0.05   0.05  37.42  30.64
 2020 182    28    0.87   0.02    0.00   1.39   5.29   5.29   5.93   5.93   0.07   0.07  34.56  27.07
 2020 183    29    1.01   0.02    0.00   1.45   5.29   5.29   5.93   5.93   0.08   0.08  31.31  25.68
 2020 184    30    1.32   0.02    0.00   1.60   5.29   5.29   5.93   5.93   0.08   0.08  34.88  28.03
