*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2020 154     0   0.000    0.00       0    0.00
 2020 155     1   0.000    0.00       0    0.00
 2020 156     2   0.000    0.00       0    0.00
 2020 157     3   0.000    0.00       0    0.00
 2020 158     4   0.000    0.00       0    0.00
 2020 159     5   0.000    0.00       0    0.00
 2020 160     6   0.000    0.00       0    0.00
 2020 161     7   0.000    0.00       0    0.00
 2020 162     8   0.000    0.00       0    0.00
 2020 163     9   0.000    0.00       0    0.00
 2020 164    10   0.000    0.00       0    0.00
 2020 165    11   0.000    0.00       0    0.00
 2020 166    12   0.000    0.00       0    0.00
 2020 167    13   0.000    0.00       0    0.00
 2020 168    14   0.000    0.00       0    0.00
 2020 169    15   0.000    0.00       0    0.00
 2020 170    16   0.000    0.00       0    0.00
 2020 171    17   0.000    0.00       0    0.00
 2020 172    18   0.000    0.00       0    0.00
 2020 173    19   0.000    0.00       0    0.00
 2020 174    20   0.000    0.00       0    0.00
 2020 175    21   0.000    0.00       0    0.00
 2020 176    22   0.000    0.00       0    0.00
 2020 177    23   0.000    0.00       0    0.00
 2020 178    24   0.000    0.00       0    0.00
 2020 179    25   0.000    0.00       0    0.00
 2020 180    26   0.000    0.00       0    0.00
 2020 181    27   0.000    0.00       0    0.00
 2020 182    28   0.000    0.00       0    0.00
 2020 183    29   0.000    0.00       0    0.00
 2020 184    30   0.000    0.00       0    0.00
 2020 185    31   0.000    0.00       0    0.00
 2020 186    32   0.000    0.00       0    0.00
 2020 187    33   0.000    0.00       0    0.00
 2020 188    34   0.000    0.00       0    0.00
 2020 189    35   0.000    0.00       0    0.00
 2020 190    36   0.000    0.00       0    0.00
 2020 191    37   0.000    0.00       0    0.00
