*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2020 155     1    0.00    0.00    0.00       4    0.00     7.4   0.000   0.007   0.000   0.041     0.1     0.0     0.7    4335     0.0    7394    0.00    7.39    0.00   40.65     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    181.    390.    714.    714.    677.   1208.   1129.   1161.   1219.     0.2     0.4     0.7     0.7     0.7     1.2     1.1     1.2     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     2.8     5.0     5.0     4.7     8.7     7.9     4.9     0.4
 2020 156     2    0.00    0.00    0.00       8    0.00    11.5   0.000   0.011   0.000   0.068     0.2     0.0     1.5    4079     0.0    4064    0.00    4.06    0.00   27.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    112.    228.    338.    333.    338.    641.    644.    678.    753.     0.1     0.2     0.3     0.3     0.3     0.6     0.6     0.7     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.1     2.9     2.9     2.9     5.8     5.6     3.6     0.3
 2020 157     3    0.00    0.00    0.00      12    0.00    13.8   0.000   0.014   0.000   0.080     0.3     0.0     2.0    3859     0.0    2324    0.00    2.32    0.00   12.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     75.    145.    172.    165.    177.    348.    372.    400.    469.     0.1     0.1     0.2     0.2     0.2     0.3     0.4     0.4     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.0     1.2     1.1     1.2     2.5     2.6     1.7     0.1
 2020 158     4    0.00    0.00    0.01      16    0.00    15.2   0.000   0.015   0.000   0.087     0.3     0.0     2.5    3684     0.0    1435    0.00    1.43    0.00    7.40     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     57.    106.    103.     94.    104.    201.    222.    246.    302.     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.7     0.7     0.7     1.4     1.6     1.0     0.1
 2020 159     5    0.00    0.00    0.01      19    0.00    16.1   0.000   0.016   0.000   0.092     0.4     0.0     2.9    3472     0.0     909    0.00    0.91    0.00    4.71     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.     82.     68.     58.     65.    119.    133.    149.    192.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.6     0.5     0.4     0.4     0.9     0.9     0.6     0.1
 2020 160     6    0.00    0.00    0.01      23    0.00    16.7   0.000   0.017   0.000   0.095     0.4     0.0     3.3    3344     0.0     612    0.00    0.61    0.00    3.25     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     36.     69.     52.     42.     46.     75.     80.     91.    123.     0.0     0.1     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.4     0.3     0.3     0.5     0.6     0.4     0.0
 2020 161     7    0.00    0.00    0.02      26    0.00    17.2   0.000   0.017   0.000   0.105     0.5     0.0     3.9    3265     0.0     467    0.00    0.47    0.00    9.68     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     33.     66.     47.     36.     38.     53.     52.     59.     82.     0.0     0.1     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     1.8     1.2     0.9     1.0     1.4     1.4     0.9     0.1
 2020 162     8    0.00    0.00    0.02      29    0.00    17.5   0.000   0.018   0.000   0.110     0.3     0.0     2.0    3012     0.0     326    0.00    0.33    0.00    4.84     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     30.     53.     38.     28.     29.     36.     30.     34.     49.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.8     0.7     0.6     0.6     0.8     0.6     0.4     0.0
 2020 163     9    0.00    0.00    0.02      32    0.00    17.8   0.000   0.018   0.000   0.114     0.5     0.0     3.9    2783     0.0     261    0.00    0.26    0.00    3.74     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     32.     46.     33.     24.     25.     27.     19.     22.     32.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.8     0.6     0.4     0.4     0.5     0.3     0.2     0.0
 2020 164    10    0.00    0.00    0.03      35    0.00    18.0   0.000   0.018   0.000   0.116     0.7     0.0     5.5    2683     0.0     235    0.00    0.23    0.00    2.93     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     30.     45.     33.     24.     24.     24.     15.     17.     24.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.5     0.3     0.3     0.4     0.2     0.1     0.0
