*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 154     0       0    8775   38959       0   38959   38919    40.0    0.00   877.5  3892.7    0.00  3892.7  3891.9    0.75
 2020 155     1       0    8775   38955       0   38955   38917    37.6    0.00   877.5  3892.5    0.00  3892.5  3891.7    0.78
 2020 156     2       0    8774   38951       0   38951   38915    35.4    0.00   877.4  3892.2    0.00  3892.2  3891.4    0.80
 2020 157     3       0    8774   38947       0   38947   38913    33.5    0.00   877.4  3892.0    0.00  3892.0  3891.2    0.81
 2020 158     4       0    8773   38943       0   38943   38911    31.9    0.00   877.3  3891.8    0.00  3891.8  3891.0    0.81
 2020 159     5       0    8773   38940       0   38940   38909    30.5    0.00   877.3  3891.6    0.00  3891.6  3890.8    0.81
 2020 160     6       0    8772   38936       0   38936   38907    29.3    0.00   877.2  3891.3    0.00  3891.3  3890.5    0.80
 2020 161     7       0    8772   38933       0   38933   38905    28.1    0.00   877.2  3891.1    0.00  3891.1  3890.3    0.79
 2020 162     8       0    8771   38930       0   38930   38903    27.3    0.00   877.1  3890.9    0.00  3890.9  3890.1    0.80
 2020 163     9       0    8771   38928       0   38928   38901    26.6    0.00   877.1  3890.7    0.00  3890.7  3889.9    0.81
 2020 164    10       0    8771   38925       0   38925   38899    26.0    0.00   877.0  3890.5    0.00  3890.5  3889.7    0.81
 2020 165    11       0    8770   38923       0   38923   38897    25.4    0.00   877.0  3890.3    0.00  3890.3  3889.5    0.81
 2020 166    12    1000    8770   39320       0   39320   38895   424.9    8.00   876.9  3898.1    0.00  3898.1  3889.3    8.82
 2020 167    13    1000    8769   39303       0   39303   38897   406.6    8.00   876.7  3898.2    0.00  3898.2  3889.2    8.99
 2020 168    14    1000    8771   39283       0   39283   38899   384.2    8.00   876.7  3898.2    0.00  3898.2  3889.0    9.14
 2020 169    15    1000    8773   39264       0   39264   38901   362.7    8.00   876.7  3898.1    0.00  3898.1  3888.9    9.22
