*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2020 154     0   214   158      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.086   0.086   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 155     1   214   158      0      0      0     0     0    90    0.00   0.0   0.0   0.00   0.086   0.086   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 156     2   214   159      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.088   0.087   0.086   0.086   0.086   0.076   0.076   0.130   0.258
 2020 157     3   211   156      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.079   0.084   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 158     4   211   156      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.073   0.083   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 159     5   211   155      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.068   0.083   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 160     6   210   155      0      0      0     0     0   180    0.00   0.0   0.0   0.00   0.063   0.082   0.084   0.085   0.085   0.075   0.075   0.129   0.257
 2020 161     7   222   167      0      0     13     0     0   180    0.00   0.0   0.0   0.00   0.160   0.120   0.096   0.090   0.087   0.076   0.075   0.129   0.256
 2020 162     8   216   161      0      3     13     0     0   180    0.00   0.0   0.0   0.00   0.112   0.099   0.089   0.087   0.087   0.076   0.076   0.129   0.257
 2020 163     9   212   157      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.086   0.087   0.085   0.086   0.085   0.075   0.075   0.129   0.256
 2020 164    10   209   154      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.073   0.081   0.082   0.084   0.084   0.074   0.075   0.128   0.255
 2020 165    11   208   153      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.066   0.079   0.081   0.084   0.084   0.074   0.075   0.128   0.255
 2020 166    12   208   152      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.061   0.077   0.081   0.084   0.084   0.074   0.075   0.128   0.255
 2020 167    13   210   155      0      4     13     1     6   180    0.00   0.0   0.0   0.00   0.125   0.086   0.082   0.082   0.083   0.073   0.074   0.127   0.253
 2020 168    14   207   152      0      4     13     1     6   180    0.00   0.0   0.0   0.00   0.091   0.082   0.083   0.082   0.082   0.073   0.073   0.126   0.251
 2020 169    15   204   148      0      4     13     1     6   180    0.00   0.0   0.0   0.00   0.077   0.077   0.081   0.081   0.080   0.072   0.073   0.125   0.250
 2020 170    16   206   151      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.132   0.089   0.083   0.079   0.079   0.071   0.072   0.124   0.248
 2020 171    17   205   150      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.108   0.091   0.086   0.079   0.079   0.071   0.072   0.124   0.247
 2020 172    18   202   147      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.085   0.084   0.083   0.081   0.078   0.070   0.071   0.123   0.246
 2020 173    19   201   146      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.077   0.082   0.083   0.081   0.078   0.070   0.071   0.123   0.246
 2020 174    20   200   145      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.070   0.080   0.082   0.081   0.078   0.070   0.071   0.123   0.246
 2020 175    21   200   145      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.064   0.079   0.082   0.081   0.078   0.070   0.071   0.123   0.246
 2020 176    22   199   144      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.058   0.077   0.081   0.081   0.078   0.070   0.071   0.123   0.246
 2020 177    23   199   144      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.054   0.075   0.081   0.081   0.077   0.070   0.071   0.123   0.246
 2020 178    24   198   143      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.050   0.073   0.080   0.081   0.077   0.070   0.071   0.123   0.246
 2020 179    25   198   143      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.046   0.072   0.080   0.081   0.077   0.070   0.071   0.123   0.246
 2020 180    26   197   142      0      4     13     2    12   180    0.00   0.0   0.0   0.00   0.043   0.070   0.079   0.081   0.077   0.070   0.071   0.123   0.246
 2020 181    27   204   149      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.152   0.091   0.083   0.080   0.076   0.069   0.070   0.122   0.244
 2020 182    28   201   145      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.103   0.084   0.083   0.084   0.078   0.068   0.070   0.121   0.242
 2020 183    29   197   142      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.082   0.082   0.081   0.083   0.077   0.067   0.069   0.120   0.241
 2020 184    30   197   142      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.074   0.080   0.081   0.083   0.077   0.067   0.069   0.120   0.241
 2020 185    31   196   141      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.068   0.079   0.080   0.083   0.077   0.067   0.069   0.120   0.241
 2020 186    32   196   140      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.062   0.077   0.080   0.083   0.077   0.067   0.069   0.120   0.241
 2020 187    33   195   140      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.057   0.076   0.079   0.083   0.077   0.067   0.069   0.120   0.241
 2020 188    34   195   140      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.053   0.074   0.079   0.083   0.077   0.067   0.069   0.120   0.241
 2020 189    35   194   139      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.049   0.073   0.078   0.083   0.077   0.067   0.069   0.120   0.241
 2020 190    36   194   139      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.045   0.071   0.078   0.082   0.077   0.067   0.069   0.120   0.241
 2020 191    37   194   138      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.042   0.070   0.077   0.082   0.077   0.067   0.069   0.120   0.241
 2020 192    38   193   138      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.039   0.068   0.077   0.082   0.077   0.067   0.069   0.120   0.241
 2020 193    39   193   138      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.037   0.067   0.076   0.082   0.076   0.067   0.069   0.120   0.241
 2020 194    40   193   137      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.034   0.066   0.076   0.082   0.076   0.067   0.069   0.120   0.241
 2020 195    41   192   137      0      4     13     3    22   180    0.00   0.0   0.0   0.00   0.032   0.065   0.076   0.082   0.076   0.067   0.069   0.120   0.241
 2020 196    42   194   139      0      4     16     3    22   180    0.00   0.0   0.0   0.00   0.078   0.065   0.075   0.082   0.076   0.067   0.069   0.120   0.241
 2020 197    43   194   139      0      4     16     3    22   180    0.00   0.0   0.0   0.00   0.071   0.064   0.075   0.082   0.076   0.067   0.069   0.120   0.241
 2020 198    44   193   138      0      4     16     3    22   180    0.00   0.0   0.0   0.00   0.065   0.063   0.074   0.082   0.076   0.067   0.069   0.120   0.241
 2020 199    45   195   140      0      4     21     3    22   180    0.00   0.0   0.0   0.00   0.113   0.075   0.072   0.080   0.075   0.066   0.068   0.119   0.239
 2020 200    46   202   147      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.146   0.113   0.087   0.083   0.074   0.066   0.068   0.118   0.237
 2020 201    47   199   143      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.105   0.101   0.091   0.086   0.075   0.065   0.067   0.117   0.236
 2020 202    48   195   140      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.083   0.088   0.086   0.085   0.084   0.064   0.067   0.116   0.234
 2020 203    49   192   137      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.072   0.083   0.083   0.083   0.083   0.063   0.066   0.115   0.233
 2020 204    50   192   137      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.065   0.082   0.083   0.083   0.083   0.063   0.066   0.115   0.233
 2020 205    51   191   136      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.060   0.081   0.082   0.083   0.083   0.063   0.066   0.115   0.233
 2020 206    52   191   136      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.056   0.079   0.082   0.083   0.083   0.063   0.066   0.115   0.233
 2020 207    53   191   135      0      4     31     3    22   180    0.00   0.0   0.0   0.00   0.051   0.078   0.081   0.083   0.083   0.063   0.066   0.115   0.233
 2020 208    54   230   175      1      4     75     3    22   180    0.00   0.0   0.0   1.45   0.151   0.152   0.154   0.141   0.111   0.076   0.065   0.114   0.231
 2020 209    55   229   174      1      4     77     3    22   180    0.00   0.0   0.0   0.00   0.131   0.126   0.132   0.136   0.123   0.085   0.075   0.114   0.230
 2020 210    56   225   170      1      5     77     3    22   180    0.00   0.0   0.0   0.00   0.098   0.102   0.107   0.109   0.104   0.080   0.075   0.129   0.257
 2020 211    57   228   173      1      5     84     3    22   180    0.00   0.0   0.0   0.00   0.145   0.104   0.101   0.105   0.104   0.082   0.078   0.131   0.255
 2020 212    58   224   169      1      5     84     3    22   180    0.00   0.0   0.0   0.00   0.105   0.096   0.096   0.100   0.101   0.082   0.080   0.132   0.256
 2020 213    59   216   161      1     10     84     3    22   180    0.00   0.0   0.0   0.00   0.083   0.086   0.088   0.091   0.092   0.078   0.077   0.131   0.256
 2020 214    60   213   158      1     10     84     3    22   180    0.00   0.0   0.0   0.00   0.072   0.081   0.085   0.087   0.088   0.077   0.077   0.130   0.256
 2020 215    61   210   154      1     10     84     3    22   180    0.00   0.0   0.0   0.00   0.062   0.077   0.083   0.085   0.086   0.076   0.076   0.129   0.255
 2020 216    62   214   159      1     10     92     3    22   180    0.00   0.0   0.0   0.00   0.147   0.092   0.085   0.086   0.085   0.075   0.075   0.128   0.253
 2020 217    63   214   158      1     10     95     3    22   180    0.00   0.0   0.0   0.00   0.131   0.097   0.088   0.087   0.086   0.074   0.074   0.127   0.251
 2020 218    64   210   155      1     10     95     3    22   180    0.00   0.0   0.0   0.00   0.094   0.087   0.086   0.085   0.085   0.075   0.075   0.128   0.249
 2020 219    65   219   164      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.148   0.124   0.097   0.091   0.087   0.076   0.075   0.127   0.248
 2020 220    66   215   160      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.101   0.099   0.089   0.087   0.086   0.075   0.075   0.129   0.256
 2020 221    67   212   156      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.081   0.088   0.086   0.085   0.085   0.075   0.075   0.129   0.255
 2020 222    68   209   153      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.070   0.083   0.084   0.083   0.083   0.074   0.075   0.128   0.254
 2020 223    69   208   153      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.065   0.082   0.083   0.083   0.083   0.074   0.075   0.128   0.254
 2020 224    70   208   152      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.060   0.081   0.083   0.083   0.083   0.074   0.075   0.128   0.254
 2020 225    71   207   152      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.055   0.080   0.083   0.083   0.083   0.074   0.075   0.128   0.254
 2020 226    72   207   152      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.051   0.079   0.083   0.083   0.083   0.074   0.075   0.128   0.254
 2020 227    73   207   151      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.047   0.078   0.082   0.083   0.083   0.074   0.075   0.128   0.254
 2020 228    74   206   151      1     10    107     3    22   180    0.00   0.0   0.0   0.00   0.044   0.077   0.082   0.083   0.083   0.074   0.075   0.128   0.254
 2020 229    75   209   153      1     10    110     3    22   180    0.00   0.0   0.0   0.00   0.089   0.079   0.082   0.083   0.083   0.074   0.075   0.128   0.254
 2020 230    76   215   160      1     10    110     4    32   180    0.00   0.0   0.0   0.00   0.148   0.107   0.090   0.086   0.084   0.073   0.074   0.127   0.252
 2020 231    77   211   156      1     10    110     4    32   180    0.00   0.0   0.0   0.00   0.102   0.091   0.085   0.084   0.085   0.075   0.075   0.129   0.251
 2020 232    78   208   153      1     10    110     4    32   180    0.00   0.0   0.0   0.00   0.081   0.084   0.083   0.084   0.085   0.075   0.075   0.128   0.249
 2020 233    79   208   153      1     10    110     4    32   180    0.00   0.0   0.0   0.00   0.075   0.083   0.083   0.084   0.085   0.075   0.075   0.128   0.249
