Date,tasmax,tasmin,pr,wind,rh,rsds,et
4/15/2020,17.72,-5.68,0,150.336,78.51,24.48,3.81
4/16/2020,17.52,-1.73,0,374.112,87.93,24.53,4.318
4/17/2020,13.55,-2.21,0,254.88,94.22,23.04,3.556
4/18/2020,23.88,1.89,0,342.144,87.01,19.81,5.588
4/19/2020,22.24,-0.23,0,177.984,95.45,23.13,4.572
4/20/2020,23.4,1.14,0,142.56,84.99,23.87,4.572
4/21/2020,18.82,4.97,0.25,189.216,86.37,12.3,3.048
4/22/2020,21.21,6.48,3.05,189.216,97.17,15.14,3.302
4/23/2020,26.4,3.19,0,189.216,97.43,22.63,5.334
4/24/2020,18,2.92,0,460.512,90.32,15.28,3.81
4/25/2020,21.41,-0.23,0,207.36,96.27,24.29,4.826
4/26/2020,27.22,4.7,0,306.72,75.27,23.13,6.35
4/27/2020,29.48,5.92,0,196.128,86.75,26.21,6.35
4/28/2020,27.5,6.54,0,389.664,90.36,25.24,7.366
4/29/2020,23.33,1.48,0,368.064,63.44,27.57,6.858
4/30/2020,31.39,2.92,0,319.68,74.66,23.12,7.62
5/1/2020,34.33,10.55,0,277.344,65.19,23.98,8.128
5/2/2020,25.65,13.28,0,464.832,75.97,26.26,6.858
5/3/2020,26.81,9.13,0,294.624,75.02,26.6,6.35
5/4/2020,26.34,11.51,0,406.944,99.97,19.56,5.842
5/5/2020,24.29,5.24,0,208.224,86.97,27.7,5.842
5/6/2020,22.17,6.74,0,261.792,63.01,26.1,5.588
5/7/2020,27.7,7.62,0,421.632,72.99,26.34,7.874
5/8/2020,17.38,2.65,0,420.768,75.06,27.55,5.588
5/9/2020,22.71,2.65,0,348.192,69.19,26.9,6.096
5/10/2020,18.41,3.47,0,301.536,62.07,26.75,5.334
5/11/2020,7.9,2.65,4.32,328.32,98.19,3.61,1.524
5/12/2020,8.09,2.65,0.25,252.288,99.93,6.6,1.016
5/13/2020,22.58,6.73,0.25,372.384,100,15.65,3.048
5/14/2020,26.68,8.63,0,313.632,100,19.63,5.334
5/15/2020,25.99,12.46,1.02,276.48,96.82,25.13,5.334
5/16/2020,25.52,12.73,3.3,246.24,96.75,23.43,5.334
5/17/2020,25.52,8.92,0,216,86.26,27.64,5.588
5/18/2020,27.29,7.49,0,201.312,91.45,25.97,5.588
5/19/2020,27.91,10.29,0,253.152,94.6,24.64,5.588
5/20/2020,26.2,10.7,0,403.488,97.6,20.74,5.334
5/21/2020,27.22,13.14,7.37,353.376,91.83,14.98,4.826
5/22/2020,25.93,10.7,0,254.88,90.08,27.8,5.842
5/23/2020,34.54,11.99,0,376.704,87.05,21.92,9.144
5/24/2020,29.14,12.46,0,311.904,78.84,22.52,6.35
5/25/2020,18.07,8.25,1.78,438.912,92.85,14.37,3.556
5/26/2020,26.13,4.36,0,163.296,97.78,25.11,5.334
5/27/2020,25.93,8.65,0,213.408,89.33,17.27,4.826
5/28/2020,27.98,8.65,0,245.376,88.85,26.18,6.096
5/29/2020,30.44,11.38,0,300.672,90.9,27.44,7.112
5/30/2020,35.22,16.02,0,492.48,73.1,27.57,10.414
5/31/2020,34.54,16.29,0,509.76,72.83,27.69,10.414
6/1/2020,35.5,17.11,0,447.552,67.77,27.53,10.414
6/2/2020,37.41,17.18,0,305.856,80.96,27.86,9.398
6/3/2020,36.38,18,0,189.216,68.73,27.64,7.62
6/4/2020,36.93,14.05,0,188.352,74.69,21.23,7.112
6/5/2020,39.12,18.89,0,320.544,71.53,27.7,9.906
6/6/2020,37.34,20.94,0,464.832,73.51,25.49,10.668
6/7/2020,35.7,22.03,0,681.696,72.28,26.65,11.43
6/8/2020,39.19,20.25,0,572.832,80.69,28.37,12.954
6/9/2020,25.11,9.2,11.68,618.624,93.98,6.06,4.064
6/10/2020,27.29,8.26,0,243.648,87.9,29.18,6.604
6/11/2020,34.33,14.32,0,329.184,66.54,28.32,9.144
6/12/2020,36.11,18.48,0,336.96,64.63,26.64,9.398
6/13/2020,37.82,13.71,0,401.76,62.73,28.48,11.176
6/14/2020,36.25,15.68,0,493.344,62.86,22.06,10.922
6/15/2020,36.11,17.93,0,506.304,57.72,27.57,11.43
6/16/2020,34.68,18.75,0,546.912,67.36,28.04,10.668
6/17/2020,25.76,24.73,0,609.12,49.08,0,5.842
6/18/2020,32.18,19.19,0,481.248,66.92,27.63,8.89
6/19/2020,24.66,13.4,9.4,296.352,96.82,12.51,3.556
6/20/2020,32.32,15.37,0,234.144,97.13,25.78,6.858
6/21/2020,34.91,15.92,0,309.312,90.5,19.42,6.604
6/22/2020,31.57,13.81,0,228.096,96.27,26.41,6.604
6/23/2020,31.09,13.4,0,178.848,97.37,26.3,6.096
6/24/2020,36.56,16.87,14.99,323.136,80.38,27.58,9.144
