Date,tasmax,tasmin,pr,wind,rh,rsds,et
4/15/2020,16.95,-7.67,0,198.72,42.61,23.03,4.064
4/16/2020,12.11,-2.5,0,450.144,70.79,22.13,3.048
4/17/2020,13.68,-2.78,0,291.168,52.56,23.9,3.81
4/18/2020,22.68,-0.06,0,319.68,48.54,21.59,5.334
4/19/2020,21.11,0.9,0,228.96,56.98,21.75,4.572
4/20/2020,22.54,1.85,0,209.952,47.64,20.29,4.572
4/21/2020,22.54,1.17,0,233.28,51.92,19.67,4.572
4/22/2020,19.82,5.8,5.08,214.272,79.64,15.31,3.302
4/23/2020,25.41,2.94,0,242.784,52.63,17.58,5.08
4/24/2020,15.32,3.76,1.78,457.92,72.75,11.74,3.048
4/25/2020,20.22,1.85,0,311.04,54.23,23.19,5.08
4/26/2020,26.48,2.39,0,332.64,46.98,23.25,6.35
4/27/2020,28.46,6.49,0,207.36,45.25,27.29,6.35
4/28/2020,25.81,5.53,0,438.912,42.8,25.43,7.366
4/29/2020,22.13,1.85,0,406.08,33.13,27.76,6.604
4/30/2020,29.08,1.31,0,339.552,36.52,23.73,7.366
5/1/2020,31.86,10.98,0,257.472,40.57,24.99,7.366
5/2/2020,23.29,11.4,0,416.448,55.12,25.04,5.842
5/3/2020,25.33,6.08,0,293.76,55.16,26.72,5.842
5/4/2020,24.31,7.03,0,460.512,72.28,18.63,5.588
5/5/2020,23.29,1.99,0,195.264,48.68,28.29,5.588
5/6/2020,21.18,3.55,0,217.728,42.41,27.69,5.334
5/7/2020,25.88,7.03,0,460.512,42.36,27.38,7.62
5/8/2020,16.48,1.59,0,400.896,42.93,28.79,5.334
5/9/2020,22.07,0.36,0,301.536,43.17,26.94,5.588
5/10/2020,17.02,2.39,0,256.608,42.7,27.42,4.826
5/11/2020,7.71,2.12,10.16,377.568,92.83,2.12,1.524
5/12/2020,6.96,2.12,1.52,292.032,98.06,5.98,0.762
5/13/2020,20.09,6.49,0.51,349.056,93.74,15.41,2.794
5/14/2020,25.27,11.79,0.51,291.168,78.89,20.93,5.08
5/15/2020,25.13,11.66,0.25,284.256,71.49,24.04,5.334
5/16/2020,24.11,10.64,3.3,261.792,70.22,24.62,5.08
5/17/2020,23.9,7.03,0,209.952,63.99,28.31,5.334
5/18/2020,25.34,5.8,0,167.616,64.35,26.26,5.08
5/19/2020,26.36,8.81,0,249.696,68.39,25.01,5.334
5/20/2020,25.81,10.58,0,384.48,68.88,25.26,5.588
5/21/2020,25.81,12.88,17.27,342.144,75.8,14.39,4.318
5/22/2020,23.5,10.17,0.51,232.416,72.33,24.76,4.826
5/23/2020,30.84,10.99,0,340.416,62.8,20.97,7.366
5/24/2020,24.86,11.66,1.02,330.048,65.61,21.66,5.08
5/25/2020,17.09,7.17,0.51,382.752,79.81,15.35,3.048
5/26/2020,24.38,6.49,0.25,155.52,64.25,21.55,4.572
5/27/2020,23.91,6.76,0,162.432,64.68,16.7,3.81
5/28/2020,26.77,8.67,0,209.088,63.36,24.07,5.334
5/29/2020,28.74,9.9,0,270.432,56.29,28.37,6.604
5/30/2020,33.5,14.99,0,411.264,45.02,27.52,9.144
5/31/2020,33.49,16.15,0,495.936,45.06,28.65,9.906
6/1/2020,35.21,17.36,0,455.328,40.34,28.89,10.668
6/2/2020,35.82,16.7,0,300.672,48.92,27.5,8.636
6/3/2020,34.52,15.2,0,164.16,44.4,26.53,6.858
6/4/2020,37.86,14.25,3.81,141.696,49.27,24.2,6.858
6/5/2020,37.18,17.85,0,313.632,46.09,28.49,9.144
6/6/2020,36.91,20.97,0.25,450.144,43.89,26.1,10.16
6/7/2020,34.53,22.41,0,684.288,48.12,27.47,10.922
6/8/2020,37.58,19.95,0,570.24,49.58,28.71,12.192
6/9/2020,24.72,8.67,21.84,562.464,80.12,5.64,3.81
6/10/2020,26.02,7.99,0,300.672,55.42,29.92,6.858
6/11/2020,33.17,10.99,0,267.84,43.37,29.08,8.128
6/12/2020,32.43,14.13,0,228.096,47.07,28.82,7.366
6/13/2020,37.86,15.08,0,367.2,29.21,29.33,10.668
6/14/2020,36.17,18.06,0,529.632,30.38,24.44,11.684
6/15/2020,35.08,18.61,0,515.808,32.34,25.57,10.922
6/16/2020,34.54,18.88,0,540.864,40.43,27.88,10.668
6/17/2020,35.9,21.04,0,625.536,41.78,28.04,11.684
6/18/2020,30.45,18.88,0,432,47.82,28.1,8.128
6/19/2020,24.38,12.9,10.67,229.824,76.02,12.07,3.302
6/20/2020,31.54,13.17,1.52,222.912,72.73,23.37,6.35
6/21/2020,34.47,15.18,19.81,243.648,77.83,16.76,5.842
6/22/2020,29.43,13.58,0.76,209.088,70.21,26.18,5.842
6/23/2020,29.29,13.24,0.25,126.144,64.2,28.6,5.842
6/24/2020,35.43,16.98,5.33,279.936,53.68,24.85,7.874
6/25/2020,37.4,18.88,0,438.912,40.98,27.2,10.668
6/26/2020,35.42,15.45,7.11,245.376,50.37,27.63,7.62
6/27/2020,35.15,15.04,8.64,278.208,56.42,27.41,7.62
6/28/2020,37.2,17.94,0,285.984,50.86,27.97,8.89
6/29/2020,39.17,20.77,0,455.328,48.39,28.65,11.176
6/30/2020,36.58,18.69,0,306.72,46.78,28.7,8.89
7/1/2020,32.09,16.45,0,287.712,61.72,24.46,6.604
7/2/2020,36.52,17.53,11.43,296.352,74.76,18.4,6.858
7/3/2020,31.4,15.35,0.25,177.984,71.58,24.94,5.842
7/4/2020,33.31,16.99,0,151.2,60.67,28.55,6.604
7/5/2020,31.61,17.94,0,145.152,67.15,21.5,5.334
7/6/2020,34.27,15.49,0,159.84,59.13,27.35,6.604
7/7/2020,35.56,18.49,0,314.496,54.5,28.13,8.382
7/8/2020,39.11,21.33,0,442.368,46.64,28.06,10.922
7/9/2020,31.54,18.62,0,358.56,62.09,19.84,6.096
7/10/2020,33.59,21.06,0,318.816,65.05,16.69,6.096
7/11/2020,33.45,17.54,0,231.552,69.03,27.27,6.604
7/12/2020,35.97,16.72,4.83,243.648,67.72,24.83,7.366
7/13/2020,35.56,16.86,0,362.016,63.08,27.62,8.382
7/14/2020,30.31,19.85,0.51,336.096,79.57,15.97,4.572
7/15/2020,28.13,17.26,1.27,243.648,77.26,24.78,5.334
7/16/2020,34.81,19.57,0,321.408,63.86,26.42,7.874
7/17/2020,38.22,21.6,0,524.448,51.02,20.42,10.414
7/18/2020,40.4,20.13,18.8,457.92,44.65,22.17,10.668
7/19/2020,30.86,17.88,0,335.232,69.65,25.23,6.35
7/20/2020,31.75,17.67,0,361.152,65.17,27.34,7.112
