Date,tasmax,tasmin,pr,wind,rh,rsds,et
4/15/2020,17.87,-7.24,0,198.72,42.36,23.97,4.318
4/16/2020,16.52,-1.96,0,465.696,61.14,23.58,4.318
4/17/2020,13.81,-1.96,0,317.952,53.84,23.73,3.81
4/18/2020,23.61,-1.08,0,374.112,48.09,19.68,5.842
4/19/2020,21.78,1.31,0,277.344,49.34,23.21,5.08
4/20/2020,23.48,1.71,0,192.672,43.82,24.04,5.08
4/21/2020,19.37,2.51,0.76,210.816,58.72,12.77,3.302
4/22/2020,22.05,4.96,2.79,242.784,81,15.22,3.81
4/23/2020,27.13,3.47,0,243.648,47.56,21.96,6.096
4/24/2020,17.55,4.28,0,592.704,59.71,16.48,4.318
4/25/2020,20.5,1.38,0,285.984,52.04,22.48,4.826
4/26/2020,28.14,2.92,0,377.568,46.25,22.88,7.366
4/27/2020,29.7,5.03,0,240.192,42.17,26.32,6.858
4/28/2020,28,6.72,0,480.384,43.08,25.1,8.128
4/29/2020,23.74,4.69,0,473.472,25.87,27.48,7.874
4/30/2020,32.62,1.24,0,393.984,31.91,22.56,8.89
5/1/2020,34.02,9.97,0,324.864,36.38,24.69,8.636
5/2/2020,25.51,12,0,562.464,50.99,25.9,7.112
5/3/2020,26.85,6.32,0,372.384,51.51,26.35,6.604
5/4/2020,26.6,11.86,0,549.504,65.37,20.12,6.858
5/5/2020,25.03,6.53,0,271.296,38.84,27.87,6.35
5/6/2020,22.39,5.78,0,318.816,39.02,26.46,6.096
5/7/2020,27.46,8.6,0,552.96,39.27,26.23,8.382
5/8/2020,17.06,4.48,0,508.896,40.12,27.45,5.842
5/9/2020,22.13,3.46,0,469.152,40.22,27.17,6.604
5/10/2020,18.26,4.14,0,398.304,37.53,27.13,5.842
5/11/2020,8.89,2.78,3.56,472.608,79.1,3.3,1.778
5/12/2020,8.2,2.64,0.51,340.416,97.14,5.45,0.762
5/13/2020,22.13,6.73,0.25,480.384,91.06,17.79,3.302
5/14/2020,26.71,9.29,0,394.848,72.36,20.56,5.842
5/15/2020,26.05,12.94,1.02,362.88,69.61,24.08,5.842
5/16/2020,24.29,12.67,4.57,303.264,70.93,22.88,5.08
5/17/2020,25.43,10.1,0,264.384,56.79,27.57,5.842
5/18/2020,28,7,0,266.112,60.28,26.91,6.096
5/19/2020,28.75,11.04,0,327.456,64.9,23.72,6.096
5/20/2020,25.99,11.31,0,543.456,68.67,20.84,5.588
5/21/2020,27.39,12.24,31.5,452.736,72.34,16.11,5.334
5/22/2020,24.76,10.51,0,323.136,64.23,28.03,5.842
5/23/2020,33.09,12.13,0,455.328,60.32,22.51,9.144
5/24/2020,26.78,12.79,0,450.144,59.15,23.58,6.35
5/25/2020,19.43,8.62,0.25,563.328,66.43,15.71,4.318
5/26/2020,25.63,6.25,0,216,53.68,23.55,5.588
5/27/2020,24.29,8.88,0,272.16,55.88,15.43,4.826
5/28/2020,27.6,10.1,0,310.176,54.42,26.93,6.604
5/29/2020,30.99,12.4,0,398.304,54.94,27.86,7.874
5/30/2020,35.25,16.19,0,635.04,41.95,27.82,11.43
5/31/2020,34.3,17.67,0,695.52,41.75,28.09,11.684
6/1/2020,34.84,17.01,0,607.392,40.76,27.11,11.43
6/2/2020,37.05,16.73,0,356.832,47.28,27.81,9.652
6/3/2020,35.42,17.8,0,252.288,37.74,27.94,8.382
6/4/2020,36.52,16.12,0.25,266.976,43.09,21.65,7.874
6/5/2020,38.61,17.68,0,407.808,48.38,28.02,10.414
6/6/2020,36.93,19.3,0,595.296,42.62,25.45,11.43
6/7/2020,35.59,22.34,0,895.968,47.27,27.54,12.7
6/8/2020,38.55,19.84,0,713.664,46.34,28.89,13.97
6/9/2020,25.58,9.01,12.7,767.232,78.81,5.49,4.318
6/10/2020,27.12,8.33,0,292.032,54.16,29.47,6.858
6/11/2020,33.62,14.97,0,406.944,37.99,28.66,9.652
6/12/2020,35.38,16.46,0,362.88,39.75,28.1,9.398
6/13/2020,37.66,13.22,0,472.608,29.46,28.79,11.938
6/14/2020,35.93,19.64,0,665.28,29.5,20.94,12.7
6/15/2020,35.93,18.62,0,670.464,31.78,27.87,12.7
6/16/2020,34.43,19.03,0,690.336,40.45,27.91,11.684
6/17/2020,36.53,20.58,0,806.112,42.7,26.49,12.7
6/18/2020,30.83,19.16,0,617.76,50.29,27.77,9.144
6/19/2020,24.7,13.76,0.51,343.008,75.33,14.5,4.064
6/20/2020,32.53,14.76,0,299.808,62.51,26.19,7.366
6/21/2020,34.7,15.1,0,363.744,69.18,19.08,7.112
6/22/2020,31.17,13.62,0,283.392,59.21,26.15,6.858
6/23/2020,30.76,13.49,0,222.048,57.66,24.73,6.096
6/24/2020,36.17,17.35,0,400.032,47.04,27.38,9.652
6/25/2020,37.12,17.81,0,581.472,44.24,25.96,11.43
6/26/2020,36.78,18.18,0,267.84,50.58,27.59,8.382
6/27/2020,36.71,17.74,0,320.544,47.91,25.7,8.636
6/28/2020,37.39,18.02,0,361.152,54.17,26.85,9.398
6/29/2020,39.83,20.77,0,519.264,44.64,27.96,12.192
6/30/2020,37.25,16.19,0,327.456,37.75,28.07,9.652
